arch_row,arch_index,dataset,forward_flops_per_sample,params,latency,raw_flops_m
0,13197,cifar10-valid,47104650,0.344346,0.01593890629316631,47.10465
1,3358,cifar10-valid,19579530.0,0.157306,0.017311921245173403,19.57953
2,11898,cifar10-valid,51036810.0,0.372346,0.018143129976172196,51.03681
3,11570,cifar10-valid,47104650.0,0.344346,0.015434390620181437,47.10465
4,8712,cifar10-valid,11715210.0,0.101306,0.012853167558971207,11.71521
5,559,cifar10-valid,47104650.0,0.344346,0.01581100204534698,47.10465
6,1676,cifar10-valid,43172490.0,0.316346,0.012320875075825475,43.17249
7,5750,cifar10-valid,86426250.0,0.615386,0.019396841526031494,86.42625
8,2514,cifar10-valid,82494090.0,0.587386,0.017387074336670992,82.49409
9,7153,cifar10-valid,47104650.0,0.344346,0.01499909476230019,47.10465
